name_x,nombre_estado,city,name_y,rating,text
Jasmine Buffet,South Carolina,Columbia,Amy Blizzard,4,"Good buffet with lots of typical buffet stuff. Nothing too out of the ordinary, but all the standards like lo main, fried rice, sweet and sour chicken, crab Rangoon. Made to order hibachi is a nice addition. Sushi included in meal too, but the variety is limited. Only real complaint is that during peak hours it is so busy that the staff can’t keep the place as clean as it should be. Sticky tables, ,easy bathrooms, plates not
Cleared often....but over all a good value when you want to pig out!"
Chinah,New Jersey,Jersey City,Richa Gupta Bitta,2,"Sorry but i didn’t find the taste close to authentic Chinese food. Been lived in China SG HK for over a decade, i wonder when will i get a real mapo tofu. Brown rice is hard or undercooked. But good for a taste change once in a while."
Mingold Kitchen Chinese Restaurant,New York,Syracuse,John Moreno Jr,2,I ordered Lobster Gar Kew and i would NOT recommend this to anyone. It had 2 Small pieces of lobster ans the rest was all chicken. Paying 13.00 for a meal i would expect a few more pieces of lobster. Which the lobster was questionable. I should have went to yamoosho.
Rainbow Town,New Jersey,Trenton,Sheelaine Price,4,Ok
Lucky Cheng,South Carolina,Bamberg,Ryan Jones,5,The food is always delicious and the people are always very friendly and kind! I love this restaurant.
Lee's Wok,Maryland,Rising Sun,victoria shores,2,Everything inside the building has a layer if oil/ grease.  Including the restroom. Barely any meat in the dishes they offer. The food Lacks flavor. Very expensive and hugely disappointing. I have never gone back.
Boe Lee,New York,Bronx,Todd Dixon,4,Good Chinese food in the area
Mr Eggroll Chinese Restaurant,Georgia,Snellville,Yvette Young,1,"Ordered to to go lunch meals. Pork lo-main and sesame chicken both with egg roll and won ton soup. Pork strips were old this was obvious because of how hard and dried out they were. The won-ton was in water honestly it all was horrible. Called Mr Eggroll to complain and was placed on hold for an excessive amount of time. Called from another line after I told the guy how bad the lunches were he said to come back and they would exchange it, I told him they could drive to my house and exchange it. He hung up me. This isn't the first bad experience we've had with them. But it is our LAST..3 strikes your out!

Fail- in food quailty
Fail- in customer service
Fail-  in cleanliness of the dining room restaurant  area, can only imagine how bad the kitchen is.

Would I recommend-Never
Will I go there again -Never"
Hong Kong King,Massachusetts,Salem,Wade Durkee,5,Great food for y money
Bamboo Gardens II,New Jersey,Toms River,Kelly Mich,5,Awesome Chinese food and the lady at the counter was so nice and polite
Red Ginger,Rhode Island,Johnston,Elizabeth Chobanian,5,Good food good service
New Bamboo,Florida,Dunedin,christopher boggess,5,Delicious food I would recommend it to everyone
P.F. Chang's,Virginia,Newport News,Jeff Futrell,5,Great food and great service.
Golden Palace Chinese Restaurant,Rhode Island,Providence,Joshua Lieder,3,Clean quick polite service. Well liit.
Imperial Buffet,Massachusetts,Lynn,Garrett Brissette,3,Very ok. Probably wouldn't recommend or go back
C & Y,New York,Brooklyn,Julien Sobel,4,American style Chinese food. Not much more to say than that
Dragon House Restaurant,Virginia,Onley,Antoinette West-Satchell,1,Made me sick
China Moon,New Jersey,Somerset,Courtney Williams,5,My favorite place for Chinese food in both Somerset and Middlesex counties. I've been going there for 17 years. I just wish they would deliver to my house.
Mr Hibachi,Florida,Lantana,Magger J,5,Very good food
Inchin's Bamboo Garden,New York,Williamsville,Michael Pulka,4,"The food has been great.  Had take out today, 3 meals.  Only 1 fortune cookie.  Prices are high, could have given 2!!!!"
China Star II,New York,Shrub Oak,Jean Gallagher,5,Tasty and quick.
Chinatown Restaurant,South Carolina,Beaufort,Renee Pugh,5,Great food love them
East China,New Hampshire,Merrimack,Justin Thompson,4,My family's favorite Chinese restaurant by far.
Chin Chin 5,Georgia,Atlanta,Sheena Jarrett,5,I enjoy the seaweed salad. Wings are not bad but should be an option for more. Want to try something else soon
Golden City III,Virginia,Virginia Beach,Dorian Grey,1,"(Translated by Google) White food

(Original)
Blan food"
P.F. Chang's,North Carolina,Durham,Sid Shah,4,"Good food, but sometimes slow service. Also there's always a wait, even though we had a reservation."
Da Hang Kitchen,New York,Oakdale,BRAIN Shark (Mike Trout),5,Good Quality
Panda Express,Georgia,Norcross,Ben Jones,3,Pretty good food. Service was a little slow but they were busy
Fan Shun,New York,Forest Hills,Ivan Liriano,3,Food is good but the place is not clean.
China Star Restaurant,Connecticut,Winsted,Buttered Toast,4,May not be the cleanest but the food is good
Far East Kitchen,New York,Miller Place,Thomas Miller,5,The best Chinese food in my area!
Atlas Kitchen,New York,New York,USA NY007,3,"(Translated by Google) The price is too expensive and the price is low.
The restaurant owner specially printed the price on the menu in gold, and the font was very small, and it was easy for the customer to read the wrong price.
The quality of the dish is OK, but it is not a special dish, it is not worth recommending, it may be more suitable for the American middle class.

(Original)
價格太貴，性價比較低。
餐廳老闆特地把菜單上的價格用金色印刷，且字體非常小，客人不小心很容易看錯價格。
菜的質量還可以，但不是特色菜，不值得推薦，可能比較適合美國中產階級的人。"
Sui Min House,New Jersey,Paterson,Joel Guzman,5,"(Translated by Google) The best Chinese food I've ever had

(Original)
La mejor comida china que ee probado"
Sun Garden,South Carolina,Inman,Lacie Gosnell,2,This place needs to be shut down. I have came here numerous times and have been disappointed each time. On the buffet the food is always cold and tastes stale. The owners children are always running around being very loud and often leave them to clean up and serve drinks and such. The place also looks dirty and dingy. I do not recommend to anyone. I don't even know how they are still in business.
Lilac Blossom South,New Hampshire,Nashua,Renee Bouthillier,5,The best in town.  A little more pricey but well worth it.
Shanghai,New York,Queens,Roy Rahway,1,The prices listed on the lunch specials above the counter don't match the prices listed on the actual menu. Now I know what beef with broccoli tastes like in Shanghai!
Peking Gourmet,Maryland,Frederick,Chris Bennett,5,Excellent Chinese food so fresh & hot . Friendly service
China Cafeteria,Georgia,Decatur,Missy Jones,2,Service has been better
Food Luck Kitchen,New York,West Babylon,Supriya Mallaya,5,Real good take-out place. Love the spring rolls and soups here.
New Sing Lee Kitchen,New Jersey,Paterson,Essence Caldwell,5,Food is always hot and ready
Panda Restaurant,New Jersey,Dunellen,Mel Lambert,5,Excellent service
Takara,New York,Albany,Donna Hayes,4,Yummy
Mister China,New Jersey,Medford,Mary cathleen Cathleen,5,"Pleasant experience,  food was fresh ,hot,and great tasting."
China House,Georgia,Adel,Jericho Nether,4,Good food
Zenbu,New York,Rensselaer,M B,5,"Love Zenbu, I hate they don't do delivery but it's worth picking it up."
Po-Po Chinese Restaurant,New Jersey,Trenton,Diva Status,5,Love their chicken
La Vie en Szechuan,New York,New York,Gary Kreissman,4,"This is a rare Midtown spot serving true Szechuan flavor, not diluted for Midtown tastes."
Fortune Cooky Restaurant,Maryland,Glen Burnie,Tim Parks,5,Better when you go and sit down
New Hong Kong Kitchen,New York,New York,Andre Ruiz,5,My all time favorite Chinese takeout.. awesome food very affordable and clean.
Five Luck,New York,New York,Fabian Charlton,3,$9 for Boneless Ribs W/ PFR tasted good and the meat tasted seasoned. I could actually the seasoned rubbed on the meat aL. $3 For home made ice tea. But it doesn't even taste sweet.
China Wonder,Massachusetts,Fitchburg,Lorrie,5,"Our family is celebrating Thanksgiving on Fri., so we decided to get Chinese and we have to say the food was AMAZING!  Their pork fried rice...yum!  Everything was great tender boneless ribs, the crab Rangoon are the best!  Thank you for being open on a holiday, hopefully you are open on Christmas or New Year's. 5 *****"
Szechuan Palace,Maryland,Silver Spring,scott greenlun,5,Delicious
Ruby Chinese Food,Connecticut,Manchester,Debbie Currie,5,"Hands down best customer service, prices and food."
Beijing Palace Restaurant,Maryland,Hampstead,Stu Schmidt Jr,1,"Excellent food, great service and an owner that goes above and beyond for her customers. This is how Chinese food should be!
****
I posted that last year. Since then, the ownership must have switched. After sushi was introduced, the regular menu for was good for a few months but has drastically changed. We would order once a week, no lie, and now we haven't been back but 3-4 times in a year. The ingredients are cheaper, the sauces have no flavor, and the portions have grown smaller. It's a shame because I live very close to this place and loved to come here."
China Garden Restaurant,Rhode Island,Providence,Jc Alexander,3,Ok food and clean restaurant
Grand Asia Market,North Carolina,Raleigh,Music thats it,3,"Wide variety!!, but it smells."
Jiang's Chinese Restaurant,New Jersey,Pomona,Mark Goldsmith,5,Good food
Zhongzhong Noodles - Roosevelt Island,New York,New York City,Yichun Hu,4,Much more edible than any other restaurant on the island.
Chan's Garden,New York,Mahopac,italianice678,5,"Very reasonable prices, staff has never gotten my orders wrong, food is very good tastes like other good Chinese take-out food that I've had."
Lotus Express,New York,New York,Rachel “Uptown NYC” Kline,1,"Some of the worst food of any kind. 24 dollars down the drain, absolute junk. I have no idea where the positive reviews come from."
Dragon Garden,Connecticut,New Britain,Rachel Burns,5,Delicious food and fast delivery.
China Wok,Georgia,Macon,M “drjohns” Johns,4,Good food at very reasonable prices. They give you fresh chopped onions with the egg drop soup which brings out the flavor of both.
New China Restaurant,Florida,Orlando,Triniman,3,"Ok Chinese food, service is a little slow."
Golden Fortune,New York,Rockville Centre,chris carp,5,Best in RVC!
Chopstix Chinese Restaurant,Connecticut,Jewett City,JETs Breath,5,Bangin
El Palacio,Florida,Kissimmee,Anisley Lopez,5,great food
Spicy Girl,Florida,Orlando,Daniel Kirves,5,Excellent authentic Chinese Food! We can’t wait for this place to reopen for dine in.
Dragon Dragon,Rhode Island,Warwick,Jane Reed,4,Food could have been hotter
Top China Restaurant,Georgia,Kathleen,Caesar Amadeus-Versace,5,"Nice, friendly and welcoming to me and my family"
Chopstick Express,Florida,St. Petersburg,Domonique Baker,5,Best lunch specials in town.  Buy 1 get 1 half off sushi...
Capital Buffet,New York,Albany,Phil Dalton,5,Best buffet in Albany with good food! Where you gonna get all you can eat for 8.00 lunch and 12.00 dinner? Side of 1 lb crab legs with buffet for 9.00 to!
Genghis Grill,Georgia,Macon,Darren Cooper,5,Great love it
Empire,New York,Brooklyn,Mimi Benfield,2,"Quite disappointing. Very slow & the food was, frankly, gross. It was slimy with little flavor. The meat in the (burnt) dumplings tasted like canned meat & was actually the most flavorful part.
Also, none of the staff were wearing masks."
Xi'an Famous Foods 西安名吃,New York,Brooklyn,Ameet Kamath,5,Staple hand pulled noodles. The sauce is drinkable.
Great Chow,Massachusetts,Abington,Irma Rodriguez,4,Good food
Haiku Sushi,Virginia,Chesapeake,Lettaryl Bass,2,"The restaurant is beautiful, but the server wasn't very nice. I ordered the Pink Lady roll and got a mouth full of rice."
Red Pepper Chinese and Vietnamese Cuisine,New York,Amherst,Nadine Clifford,4,"Excellent service and tasty, fresh food with a good variety of dishes.  Love most all selections."
Peter Chang Cafe,Virginia,Glen Allen,Elyssa Ferguson,5,"Incredible food! Knowledgeable and friendly wait staff. Portions and prices are fair. Whether you like eggplant or not, order the fried eggplant.....it's a game changer! Keep in mind this IS Szechuan - even the mild has some spice."
Lin Garden 2,Florida,Poinciana,Chandra Riley,5,My favorite place to eat
The Original Buddha Bodai Kosher Vegetarian Restaurant 🥬 佛菩提,New York,New York,Di Feng Tan,5,Post quarantine opening. Inside there are plastic dividers between tables. Food was good. Pretty decent pricing. I'd go again.
Golden House Chinese Restaurant in Roslindale,Massachusetts,Roslindale,"G J Grnd-Prr, SR",5,"They have great specials, the place is clean,  and not only is the food very good, the wings are off the hook."
Asaka Japanese & Asian Cuisine,Massachusetts,Norwell,Rodrigo Pineda,5,Good place good food a litttle bit expense. The spicy soup is was excellent. I eat two different sushi very good..but to small.
China Star,Maryland,Perryville,Heather Eller,4,Good food. Friendly service. Wait time is moderate.
Chinatown Diner,New Jersey,Newark,Miguel Jesus,5,Great food and clean !
Hibachi Grill & Supreme Buffet,Georgia,Lawrenceville,romunda brown,4,Loved the food
China Dragon,New York,Watervliet,Kimberly Napoli,1,Nasty food and rude employees. Don't order from here! If I could give it -1 ⭐ I would! How do you not know your own menu?
Ying Dynasty,Massachusetts,Mattapoisett,Carolyn Normand,5,Best wonton soup ever!!
Brother Asian Cuisine,New York,Brooklyn,* ᗷᗩᒪᗩᗪᎥ,5,"This is a great and the best Chinese food Ever...from quality to flavors and selection all and all is 5 STARS,  I LOVE EVERYTHING THEY COOK! And I pray they keep up the good cooking.

Shopstick’s use to be the place, after years it gotten bad and the food got horrible!"
Grand Harmony,New York,Utica,Derek Stockbridge,5,Cleanest Chinese joint around. Great food.
Bamboo House,Massachusetts,Wakefield,AC AUTO,4,Pretty consistent Chinese food with a screwed up item once and a while. Excellent orange chicken
Bamboo House Restaurant,New York,Rochester,Susan J OKelly,5,The best!😉
Szechuan Chinese Restaurant,Massachusetts,Everett,Jaylen Wrice,1,Horrible Chinese Food ;They leave rice in a pot all day and just not enough sides .
Tsing Garden,New Jersey,West New York,Lemuel,4,"Pretty fast service, and good food. Prices a bit high, but that's typical of the area."
Hing Long Kitchen,New York,Brooklyn,Brenda Pennington,3,Was 👌
Amy Chow Kitchen,New York,White Plains,njacob69,4,For what it is and the questionable area. The food in prepared in a clean kitchen. Great chicken wings. My favorite is the chicken and broccoli
Red Pepper Chinese and Vietnamese Cuisine,New York,Amherst,Renata Lefcourt,5,Consistently good quality food and excellent service.
Hong Kong Express,Georgia,Macon,Nordic child,1,Rude rude Rude! Don't ever go here or order delivery because of you call they give you attitude. Don't waste time at this place
China Wok,Massachusetts,Wilmington,Brian W,5,"Moved here from NJ last year and two things we had not been able to find were (a) good pizza, and (b) good Chinese food, until we came here. This place is the best around. All of the other Chinese joints in this area taste too bland. Food is finished quickly (10-15mins for almost every takeout order) and they have Pint/Quart size options, which for some reason is rare to find in MA. So many other places force you into one size, which is always huge. Will be coming back!"
Chen's Garden,South Carolina,Irmo,Joey George,5,We’ve been eating Chen’s food for about eight years and it is so delicious even when they were in West Columbia @ Egg Roll King
Golden Garden Restaurant,New Jersey,East Orange,Sharnee Williams,5,My favorite place..no lie..I love them..gd ppl..clean food..this place is a Must..
China Garden Restaurant,New York,Liverpool,David Briedis,5,"New Update - My son has been diagnosed with a condition k own as EOE (Eosiniphilic Esophoagitis).  It cause major allergic reactions from certain foods.  Anyway these great people have done a great job helping my son in avoiding the foods that trigger his reactions.  Making LoMein with Rice Noodles and cooking Generals Tsos Chicken without the breading as well as other things.  We truly appreciate your help.  Thank you very much.

My wife and I order from here quite often.  They do a fantastic job on the Shrimp with Garlic Sauce.  My son is a huge fan of the Generals Chicken.  The family that runs the place are quite nice, always polite and seem to really care if you enjoy the food.  We enjoy the long mein and one of my favorites are the fried wantons dipped in duck sauce.  They are crunchy and have a savory meat inside.  Combined with the duck sauce it combines salty and sweet.  Try em out next time.  Keep up the great work."
P.F. Chang's,Virginia,Newport News,Timmy Carter,1,Not very good missing flavor
Golden Bowl Restaurant,Delaware,Smyrna,Wayne Lineberry,5,Eat there fairly often as I work right next door. Friendly staff. Good food. Good pricing!!
Kung Pao Wok,North Carolina,Charlotte,Rafael Rivera,5,"Great food, good proportions and great price.  We didn't wait too long to get our meal."
China House,Maryland,Sykesville,Chris Middleton,4,Everything was good
Asian Kitchen,New York,Flushing,Nicholas Henderson,5,Best boneless spare ribs in NYC.
MERRY LAND CHINESE RESTAURANT,New York,Long Beach,Sheryl Wasserman,4,Food is very good
Six Happiness Chinese Restaurant,New Jersey,Paterson,Duban Moreno,1,My girlfriend order Chinese food through my grub hub application when the delivery guy who got to the house and I was not home and could not pick up my phone right away and eventually he  Rang the doorbell as try to call back.  My  Present open the door and the delivery guy  Winning give her the food saying what's the phone number that's on that account and I'm not gonna give you the food the manager was called and he did nothing about it he made her seemed like she was a criminal.
The Old Spot Hotpot & Skewer 老地方火锅烧烤,New Jersey,Jersey City,Leo Li,5,The tripe and BBQ are so amazing! Next time I will try hot pot which looks good too! My favorite Chinese BBQ spot.
Cheng Chen Chinese Restaurant,New Jersey,East Windsor,Ashima Nayar,5,Great food.  The kung pao chicken was actually spicy.  The noodles were very flavorful and everything was served very hot.
China Buffet,New York,Hornell,Roy Jones,5,They know the main dish that I like there is refreshing to have someone know you that well
Chatham,New York,Chatham,Livy Ace,3,Good
Hop Shing,Florida,Fleming Island,Lynda Schulz,4,Food was great. Portions were plentiful.
Imperial Wok Chinese Restaurant,Connecticut,New Britain,Axel N Gonzalez,5,"As always, the food was great. Haven't let me down in 20 years."
Jiangnan Chinese Cuisine,New York,New York,Jeongmyoung Lee,5,Cheap and Delicious foods.
Hunan Wok,New Jersey,Mt Holly,Emily Hou,5,Love this place. My favorite Chinese food take out restaurant. Male boss owner is friendly. The foods taste delicious and clean. They also have friendly vegan or vegetarian options.
China King Restaurant,Georgia,Augusta,Sarina Gaines,1,"My food was salty, egg roll was'nt done !! Then the guy who take the orders had very bad attitude!!! If he's not happy there leave i will never go there AGAIN!!!!"
Green Tea,Georgia,Savannah,lawrence camp,5,"1

Only one word.......

Good!!!!"
P.F. Chang's,North Carolina,Durham,Judy Keenan,5,"We enjoyed the pork lo mein, a chicken dish, and shrimp with orange slices. Nice flavor presented well."
El Palacio Buffet,Florida,Orlando,Diamon Sea,5,"Great place, Variety of food!"
China Delight,South Carolina,Boiling Springs,Chichi Williford,2,"I normally don't leave reviews but I had to come on here to let people know that this restaurant is just not it. It was the only restaurant open on the forth of july and I was craving chinese food. I ordered a steak and teriyaki chicken blend w/ pork fried rice and an eggroll. The meat was not only bland w/ very little sauce and seasoning but it had a gooy, gritty texture that was very unpleasant. The rice was dry and the eggroll had little to no filling. Customer service was good that's why I gave 2 stars instead of 1 but definitly won't be going back when there are way better options in the area."
P.F. Chang's,North Carolina,Durham,Merrie Ann Lail,5,"Great service, great poke salad."
Jin Jin King,Florida,Panama City Beach,Mr. Mr.,5,I always get it to go...
Main Moon,Massachusetts,South Hadley,Felix Malave,5,I went to this restaurant not since long time but I was surprise new dining and look inside the restaurant was nice.  Also new owners of this restaurant.   I went back few time to eat their delicious Chinese food.  Best meals.  Five stars.
Golden City,Virginia,Norfolk,michelle etheridge,5,Best food I've had in 19yrs
Sakura Hibachi Sushi,Massachusetts,Attleboro,jared francis,4,"Place is clean, service is good, the sushi is really well made too!"
Golden China Restaurant,Virginia,Virginia Beach,Joaquin Diaz,5,Excellent shrimp fried rice not too salty and greasy
Li's Brothers,Massachusetts,Longmeadow,Matthew McLean,5,They have gone bad in recent years. They were at their prime with the buffet term years ago. Some them everyone goes to iron chef.
Peking Gourmet,South Carolina,Hopkins,James Vetter,5,Fast good food love the curry beef!
Hibachi Grill & Supreme Buffet,Georgia,Lawrenceville,Richard S Gazda,4,Very good food and large selection of different foods.
Buffet City,Virginia,Virginia Beach,Damaris Aybar,3,"It was ok
.upset mt stomach"
New First Dragon,New York,Waterloo,Chris Plate,3,Not impressed. Meal was bland.
China Garden,Florida,Jacksonville,Geoffrey V,5,We always have a great meal! Love this place
Wang's Fast Food,Massachusetts,Somerville,Nick Belsito,5,"Best Chinese food  in Somerville. Their combo plates are a great, affordable way to try quite a bit of the menu"
